participant,estimation,group,session,block,trial,trial_total,target,constant_error,absolute_error,hold_time,estimated_error,error_estimate_CE,error_estimate_AE
101,Estimate,Blocked,Training,1,1,1,1700,-109,109,1591,,,
101,Estimate,Blocked,Training,1,2,2,1700,-243,243,1457,,,
101,Estimate,Blocked,Training,1,3,3,1700,-148,148,1552,,,
101,Estimate,Blocked,Training,1,4,4,1700,-124,124,1576,,,
101,Estimate,Blocked,Training,1,5,5,1700,587,587,2287,,,
101,Estimate,Blocked,Training,1,6,6,1700,212,212,1912,,,
101,Estimate,Blocked,Training,1,7,7,1700,-5,5,1695,-200,-195,195
101,Estimate,Blocked,Training,1,8,8,1700,-139,139,1561,,,
101,Estimate,Blocked,Training,1,9,9,1700,172,172,1872,,,
101,Estimate,Blocked,Training,1,10,10,1700,-45,45,1655,,,
101,Estimate,Blocked,Training,1,11,11,1700,-28,28,1672,,,
101,Estimate,Blocked,Training,1,12,12,1700,-68,68,1632,,,
101,Estimate,Blocked,Training,1,13,13,1700,68,68,1768,,,
101,Estimate,Blocked,Training,1,14,14,1700,28,28,1728,-100,-128,128
101,Estimate,Blocked,Training,1,15,15,1700,-244,244,1456,,,
101,Estimate,Blocked,Training,1,16,16,1700,163,163,1863,,,
101,Estimate,Blocked,Training,1,17,17,1700,-84,84,1616,,,
101,Estimate,Blocked,Training,1,18,18,1700,-140,140,1560,,,
101,Estimate,Blocked,Training,1,19,19,1700,-20,20,1680,,,
101,Estimate,Blocked,Training,1,20,20,1700,12,12,1712,,,
101,Estimate,Blocked,Training,1,21,21,1700,-76,76,1624,50,126,126
101,Estimate,Blocked,Training,1,22,22,1700,-36,36,1664,,,
101,Estimate,Blocked,Training,1,23,23,1700,-124,124,1576,,,
101,Estimate,Blocked,Training,1,24,24,1700,67,67,1767,,,
101,Estimate,Blocked,Training,1,25,25,1700,35,35,1735,,,
101,Estimate,Blocked,Training,1,26,26,1700,92,92,1792,,,
101,Estimate,Blocked,Training,1,27,27,1700,68,68,1768,,,
101,Estimate,Blocked,Training,1,28,28,1700,-5,5,1695,-50,-45,45
101,Estimate,Blocked,Training,1,29,29,1700,-84,84,1616,,,
101,Estimate,Blocked,Training,1,30,30,1700,28,28,1728,,,
