participant,estimation,session,group,trial,target,pre_trial_time,response_time,pre_feedback_time,constant_error,absolute_error,test_type,hold_time
101,Estimate,Post,Blocked,1,1700,1418,3051,0,3,3,Retention,1703
101,Estimate,Post,Blocked,2,1700,1531,845,0,267,267,Retention,1967
101,Estimate,Post,Blocked,3,1700,1446,1479,0,307,307,Retention,2007
101,Estimate,Post,Blocked,4,1700,1493,1230,0,84,84,Retention,1784
101,Estimate,Post,Blocked,5,1500,1418,1741,0,-61,61,Retention,1439
101,Estimate,Post,Blocked,6,1500,1462,1594,0,-4,4,Retention,1496
101,Estimate,Post,Blocked,7,1500,1402,1154,0,106,106,Retention,1606
101,Estimate,Post,Blocked,8,1500,1432,1406,0,188,188,Retention,1688
101,Estimate,Post,Blocked,9,1900,1451,933,0,404,404,Retention,2304
101,Estimate,Post,Blocked,10,1900,1476,943,0,164,164,Retention,2064
101,Estimate,Post,Blocked,11,1900,1447,991,0,315,315,Retention,2215
101,Estimate,Post,Blocked,12,1900,1549,920,0,364,364,Retention,2264
101,Estimate,Post,Blocked,13,1600,1490,1930,0,176,176,Transfer,1776
101,Estimate,Post,Blocked,14,1600,1558,1575,0,-72,72,Transfer,1528
101,Estimate,Post,Blocked,15,1600,1523,1295,0,337,337,Transfer,1937
101,Estimate,Post,Blocked,16,1600,1517,1415,0,-121,121,Transfer,1479
101,Estimate,Post,Blocked,17,1800,1505,2036,0,528,528,Transfer,2328
101,Estimate,Post,Blocked,18,1800,1545,1972,0,463,463,Transfer,2263
101,Estimate,Post,Blocked,19,1800,1474,1267,0,248,248,Transfer,2048
101,Estimate,Post,Blocked,20,1800,1413,1433,0,463,463,Transfer,2263
101,Estimate,Post,Blocked,1,1900,1473,3060,0,859,859,Retention,2759
101,Estimate,Post,Blocked,2,1500,1472,1642,0,-124,124,Retention,1376
101,Estimate,Post,Blocked,3,1600,1474,723,0,392,392,Transfer,1992
101,Estimate,Post,Blocked,4,1800,1526,1601,0,471,471,Transfer,2271
101,Estimate,Post,Blocked,5,1700,1486,1370,0,132,132,Retention,1832
101,Estimate,Post,Blocked,6,1500,1473,2113,0,36,36,Retention,1536
101,Estimate,Post,Blocked,7,1600,1571,1113,0,575,575,Transfer,2175
101,Estimate,Post,Blocked,8,1800,1489,1369,0,377,377,Transfer,2177
101,Estimate,Post,Blocked,9,1700,1488,1437,0,68,68,Retention,1768
101,Estimate,Post,Blocked,10,1900,1581,701,0,795,795,Retention,2695
101,Estimate,Post,Blocked,11,1600,1465,1861,0,520,520,Transfer,2120
101,Estimate,Post,Blocked,12,1500,1427,2050,0,211,211,Retention,1711
101,Estimate,Post,Blocked,13,1900,1425,1243,0,845,845,Retention,2745
101,Estimate,Post,Blocked,14,1700,1426,1839,0,259,259,Retention,1959
101,Estimate,Post,Blocked,15,1800,1539,1129,0,518,518,Transfer,2318
101,Estimate,Post,Blocked,16,1600,1522,1511,0,560,560,Transfer,2160
101,Estimate,Post,Blocked,17,1900,1511,3300,0,779,779,Retention,2679
101,Estimate,Post,Blocked,18,1800,1589,1408,0,560,560,Transfer,2360
101,Estimate,Post,Blocked,19,1500,1591,1580,0,484,484,Retention,1984
101,Estimate,Post,Blocked,20,1700,1430,1030,0,268,268,Retention,1968
102,Estimate,Post,Random,1,1700,1564,534,0,-141,141,Retention,1559
102,Estimate,Post,Random,2,1700,1438,674,0,-109,109,Retention,1591
102,Estimate,Post,Random,3,1700,1429,874,0,-173,173,Retention,1527
102,Estimate,Post,Random,4,1700,1430,828,0,-244,244,Retention,1456
102,Estimate,Post,Random,5,1500,1530,633,0,-285,285,Retention,1215
102,Estimate,Post,Random,6,1500,1503,563,0,-436,436,Retention,1064
102,Estimate,Post,Random,7,1500,1549,958,0,-179,179,Retention,1321
102,Estimate,Post,Random,8,1500,1480,540,0,-315,315,Retention,1185
102,Estimate,Post,Random,9,1900,1556,744,0,-139,139,Retention,1761
102,Estimate,Post,Random,10,1900,1479,443,0,-316,316,Retention,1584
102,Estimate,Post,Random,11,1900,1404,536,0,-268,268,Retention,1632
102,Estimate,Post,Random,12,1900,1452,554,0,-285,285,Retention,1615
102,Estimate,Post,Random,13,1600,1401,628,0,-345,345,Transfer,1255
102,Estimate,Post,Random,14,1600,1564,546,0,-344,344,Transfer,1256
102,Estimate,Post,Random,15,1600,1577,540,0,-280,280,Transfer,1320
102,Estimate,Post,Random,16,1600,1457,444,0,-201,201,Transfer,1399
102,Estimate,Post,Random,17,1800,1405,633,0,-305,305,Transfer,1495
102,Estimate,Post,Random,18,1800,1442,407,0,-345,345,Transfer,1455
102,Estimate,Post,Random,19,1800,1498,527,0,-169,169,Transfer,1631
102,Estimate,Post,Random,20,1800,1580,461,0,-145,145,Transfer,1655
102,Estimate,Post,Random,1,1700,1460,668,0,219,219,Retention,1919
102,Estimate,Post,Random,2,1500,1412,718,0,19,19,Retention,1519
102,Estimate,Post,Random,3,1600,1403,453,0,-18,18,Transfer,1582
102,Estimate,Post,Random,4,1900,1402,956,0,244,244,Retention,2144
102,Estimate,Post,Random,5,1800,1419,685,0,15,15,Transfer,1815
102,Estimate,Post,Random,6,1500,1579,494,0,83,83,Retention,1583
102,Estimate,Post,Random,7,1900,1531,503,0,-13,13,Retention,1887
