"","participant","group","label","det","phase_space","lag"
"1","101","Blocked","det_1back_target",0.998349869100372,"target","1back"
"2","101","Blocked","det_2back_target",0.996053418811975,"target","2back"
"3","101","Blocked","det_3back_target",0.976966799541286,"target","3back"
"4","101","Blocked","det_4back_target",0.931577769622963,"target","4back"
"5","101","Blocked","det_1back_trial",0.99728047708215,"trial","1back"
"6","101","Blocked","det_2back_trial",0.994634121874179,"trial","2back"
"7","101","Blocked","det_3back_trial",0.987637872696925,"trial","3back"
"8","101","Blocked","det_4back_trial",0.974923052439185,"trial","4back"
"9","102","Random","det_1back_target",0.774031367295138,"target","1back"
"10","102","Random","det_2back_target",0.591740662673588,"target","2back"
"11","102","Random","det_3back_target",0.430784048098257,"target","3back"
"12","102","Random","det_4back_target",0.272624583109,"target","4back"
"13","102","Random","det_1back_trial",0.999483762846787,"trial","1back"
"14","102","Random","det_2back_trial",0.99603035014529,"trial","2back"
"15","102","Random","det_3back_trial",0.967766514453819,"trial","3back"
"16","102","Random","det_4back_trial",0.935827911076489,"trial","4back"
"17","103","Blocked","det_1back_target",0.902807156350728,"target","1back"
"18","103","Blocked","det_2back_target",0.82815941953622,"target","2back"
"19","103","Blocked","det_3back_target",0.737837473567399,"target","3back"
"20","103","Blocked","det_4back_target",0.654632794878578,"target","4back"
"21","103","Blocked","det_1back_trial",0.910100213689421,"trial","1back"
"22","103","Blocked","det_2back_trial",0.846515363341261,"trial","2back"
"23","103","Blocked","det_3back_trial",0.76382911664401,"trial","3back"
"24","103","Blocked","det_4back_trial",0.692148078874663,"trial","4back"
"25","104","Random","det_1back_target",0.99549242668154,"target","1back"
"26","104","Random","det_2back_target",0.978078538700618,"target","2back"
"27","104","Random","det_3back_target",0.955911671670564,"target","3back"
"28","104","Random","det_4back_target",0.92763505252986,"target","4back"
"29","104","Random","det_1back_trial",0.999325062484999,"trial","1back"
"30","104","Random","det_2back_trial",0.99076996878549,"trial","2back"
"31","104","Random","det_3back_trial",0.979481860401839,"trial","3back"
"32","104","Random","det_4back_trial",0.954086741137071,"trial","4back"
"33","105","Blocked","det_1back_target",0.994983512326528,"target","1back"
"34","105","Blocked","det_2back_target",0.975936578360352,"target","2back"
"35","105","Blocked","det_3back_target",0.958499981305507,"target","3back"
"36","105","Blocked","det_4back_target",0.943275441935813,"target","4back"
"37","105","Blocked","det_1back_trial",0.994595068606158,"trial","1back"
"38","105","Blocked","det_2back_trial",0.975712581070676,"trial","2back"
"39","105","Blocked","det_3back_trial",0.954921593823738,"trial","3back"
"40","105","Blocked","det_4back_trial",0.93425314143732,"trial","4back"
"41","106","Random","det_1back_target",0.936957811281006,"target","1back"
"42","106","Random","det_2back_target",0.894323156010343,"target","2back"
"43","106","Random","det_3back_target",0.854335022548864,"target","3back"
"44","106","Random","det_4back_target",0.816525738746066,"target","4back"
"45","106","Random","det_1back_trial",0.998135662508022,"trial","1back"
"46","106","Random","det_2back_trial",0.944207658465885,"trial","2back"
"47","106","Random","det_3back_trial",0.876939131833305,"trial","3back"
"48","106","Random","det_4back_trial",0.821357391898007,"trial","4back"
"49","107","Blocked","det_1back_target",0.981591492384295,"target","1back"
"50","107","Blocked","det_2back_target",0.984592416854242,"target","2back"
"51","107","Blocked","det_3back_target",0.973094628804346,"target","3back"
"52","107","Blocked","det_4back_target",0.961802313378154,"target","4back"
"53","107","Blocked","det_1back_trial",0.983116290008865,"trial","1back"
"54","107","Blocked","det_2back_trial",0.985480773636228,"trial","2back"
"55","107","Blocked","det_3back_trial",0.976774275918807,"trial","3back"
"56","107","Blocked","det_4back_trial",0.968427541357089,"trial","4back"
"57","108","Random","det_1back_target",0.935644480452112,"target","1back"
"58","108","Random","det_2back_target",0.868940569802298,"target","2back"
"59","108","Random","det_3back_target",0.814930432804302,"target","3back"
"60","108","Random","det_4back_target",0.747950385077262,"target","4back"
"61","108","Random","det_1back_trial",0.953059911691941,"trial","1back"
"62","108","Random","det_2back_trial",0.90625323484348,"trial","2back"
"63","108","Random","det_3back_trial",0.852015364612064,"trial","3back"
"64","108","Random","det_4back_trial",0.810090881511656,"trial","4back"
"65","109","Blocked","det_1back_target",0.989888576163225,"target","1back"
"66","109","Blocked","det_2back_target",0.981260943005873,"target","2back"
"67","109","Blocked","det_3back_target",0.966025613766044,"target","3back"
"68","109","Blocked","det_4back_target",0.945721232185993,"target","4back"
"69","109","Blocked","det_1back_trial",0.988185822925103,"trial","1back"
"70","109","Blocked","det_2back_trial",0.978396460181334,"trial","2back"
"71","109","Blocked","det_3back_trial",0.96311868553759,"trial","3back"
"72","109","Blocked","det_4back_trial",0.944052775009699,"trial","4back"
