"","participant","group","ave_ae_Retention","ave_ae_Transfer","ave_ce_Retention","ave_ce_Transfer","ave_ve_Retention","ave_ve_Transfer","det_target","det_trial","det_diff"
"1",101,"Blocked",0.296958333333333,0.3988125,0.281208333333333,0.3746875,0.286967045398818,0.216229420986137,0.931577769622963,0.974923052439185,0.0414153286402888
"2",102,"Random",0.17675,0.197625,-0.118,-0.19575,0.172431965159293,0.12181652870882,0.272624583109,0.935827911076489,0.484406040933754
"3",103,"Blocked",0.500458333333333,0.4535625,-0.500458333333333,-0.4535625,0.121291950758657,0.143202871828745,0.654632794878578,0.692148078874663,0.0282809542747359
"4",104,"Random",0.167833333333333,0.176,-0.0915833333333333,-0.025,0.200829349289968,0.228676190277869,0.92763505252986,0.954086741137071,0.0249760050994291
"5",105,"Blocked",0.322166666666667,0.283933333333333,0.274166666666667,-0.0467333333333333,0.265613427284133,0.378168418011013,0.943275441935813,0.93425314143732,-0.00850174449636085
"6",106,"Random",0.188458333333333,0.240125,0.0507916666666667,-0.18625,0.217480829573285,0.227665690578679,0.816525738746066,0.821357391898007,0.00409095752470204
"7",107,"Blocked",0.0749130434782609,0.1099375,-0.0567391304347826,-0.0179375,0.0762544886257401,0.136449486990608,0.961802313378154,0.968427541357089,0.00640191919064355
"8",108,"Random",0.262166666666667,0.1694375,-0.180833333333333,-0.0980625,0.265973628419234,0.184944124444835,0.747950385077262,0.810090881511656,0.0509049672364308
"9",109,"Blocked",0.247541666666667,0.2426875,-0.0947916666666667,-0.2108125,0.278757800306797,0.211373987283204,0.945721232185993,0.944052775009699,-0.00158130695920927
"10",110,"Random",0.1815,0.147533333333333,0.0670833333333333,-0.0254,0.215725452866584,0.185548530424946,0.916425276278735,0.948837170134005,0.0303684963424565
"11",111,"Blocked",0.2945,0.3516875,-0.20875,-0.2656875,0.275527517760891,0.317954025764732,0.838529866417014,0.850704597787529,0.0105374983635616
"12",112,"Random",0.29275,0.331875,-0.29275,-0.293,0.139984859429744,0.216964820497087,0.890201984783097,0.89698342964039,0.00612926734293913
"13",113,"Blocked",0.149375,0.1664375,0.0272083333333333,0.1314375,0.201563665455568,0.21353531128754,0.951645567674202,0.933144141820605,-0.0174941449463895
"14",114,"Random",0.526083333333333,0.490875,-0.526083333333333,-0.490875,0.108969447918718,0.122007035316275,0.944012011406059,0.86977419235062,-0.0679406317573268
"15",115,"Blocked",0.2155,0.2215,-0.148,-0.13675,0.206997164441826,0.276530769837041,0.844906458191217,0.878651850257967,0.0296496627117616
"16",116,"Random",0.495416666666667,0.4111875,-0.495416666666667,-0.3823125,0.125148578364545,0.257883622008068,0.583064854280216,0.805428148445368,0.170708352971492
"17",117,"Blocked",0.356916666666667,0.5169375,-0.352583333333333,-0.5169375,0.17588160955515,0.145228770680376,0.918700130079882,0.933024805718744,0.0133361767167346
"18",118,"Random",0.267833333333333,0.236666666666667,-0.229833333333333,-0.2228,0.224316675738771,0.195998250721057,0.788941978190831,0.830520920988997,0.0349359576845366
"19",119,"Blocked",0.413304347826087,0.2968,-0.26704347826087,-0.238133333333333,0.372442244242571,0.300894349438153,0.815265458629507,0.831817048413963,0.0140692249990418
"20",120,"Random",0.169833333333333,0.1800625,0.0670833333333333,0.1209375,0.206966268343139,0.180054980029249,0.916428688713051,0.94754581066266,0.0291375954494581
"21",121,"Blocked",0.4636,0.301357142857143,0.3811,0.145928571428571,0.361581598856439,0.383371573980471,0.564361508529103,0.569816558252817,0.00380697505929767
"22",122,"Random",0.146083333333333,0.160733333333333,-0.09125,-0.0894,0.159108453578055,0.180799731352518,0.718731376204337,0.718060512470007,-0.000523456325442206
"23",123,"Random",0.133791666666667,0.1404375,-0.0829583333333333,-0.0665625,0.14028340233618,0.177466604839709,0.854836051032527,0.914876610496716,0.0538541100561477
"24",124,"Blocked",0.11225,0.1408125,0.0831666666666667,0.1175625,0.118897715144853,0.135030351526364,0.901385967351607,0.90652489478299,0.00468862032730906
"25",125,"Blocked",0.317208333333333,0.3191875,-0.300625,-0.2704375,0.234349945037609,0.288809964913493,0.824740215452433,0.855256357300157,0.0263084972906935
"26",126,"Random",0.169,0.247875,-0.163666666666667,-0.216,0.114726770564058,0.191421001982541,0.456622132836287,0.847271976494589,0.291842107110902
"27",127,"Blocked",0.215708333333333,0.140375,0.101541666666667,-0.008875,0.25623952435286,0.211687151239748,0.844135347389286,0.847288061270224,0.00273130712033631
"28",128,"Random",0.325541666666667,0.309375,0.182208333333333,0.145,0.357782175555082,0.369079575882131,0.868149811253581,0.973687307831456,0.0978811604145525
"29",129,"Blocked",0.482434782608696,0.46975,0.345739130434783,0.08275,0.434383179963927,0.541920350851181,0.950994944764784,0.953600554152758,0.00248697636147548
"30",130,"Random",0.204916666666667,0.2115625,-0.000583333333333337,0.0776875,0.302114708515572,0.303681789323408,0.617172034829884,0.942214856527864,0.267953417634182
"31",131,"Blocked",0.155791666666667,0.212875,0.115625,0.157625,0.149690931589058,0.205694230999964,0.883611193898581,0.905867017557367,0.0201369430727946
"32",132,"Random",0.1965,0.254,0.037,0.00775,0.232798289251147,0.297484901577654,0.625239100977358,0.661418866829975,0.0266696272420662
"33",133,"Blocked",0.285416666666667,0.38875,-0.283833333333333,-0.38875,0.147415610838339,0.185215370132539,0.975818022668538,0.981215862659404,0.00528432900861935
"34",134,"Random",0.177666666666667,0.2618125,0.126333333333333,0.2416875,0.175572025766875,0.235297462445589,0.842922999827082,0.974954266105523,0.121159767544002
"35",135,"Blocked",0.368565217391304,0.2831875,-0.280652173913043,-0.2553125,0.342619137699263,0.265333681427745,0.946860666031553,0.949349778934623,0.00236631469015974
"36",136,"Random",0.168708333333333,0.2200625,0.064625,0.0744375,0.229800255893451,0.260273950226807,0.76407377951992,0.825874269337222,0.0512968534492019
"37",137,"Blocked",0.146083333333333,0.1318125,0.0756666666666667,-0.0990625,0.175438993897338,0.149948643986311,0.888470527833497,0.896471498583055,0.00722419516042669
"38",138,"Random",0.181041666666667,0.1416875,0.0667916666666667,-0.0646875,0.215383576776242,0.185759600469711,0.895960356680505,0.891003250781798,-0.00447992107680853
"39",139,"Blocked",0.364833333333333,0.2770625,0.317416666666667,0.2630625,0.263818599843128,0.212408872617569,0.835594628861526,0.860033212575866,0.0212114175301449
"40",140,"Random",0.328583333333333,0.38275,-0.327583333333333,-0.38275,0.154335297511525,0.149237841492476,0.858199887994761,0.860165760754778,0.00172321498000483
"41",141,"Blocked",0.405272727272727,0.3345,0.154,0.3105,0.446669047612702,0.257962057436599,0.95379934884012,0.954646008775278,0.000809598720726994
"42",142,"Random",0.235958333333333,0.246,-0.166208333333333,-0.20725,0.246703832149202,0.245648665102554,0.871880118526534,0.8055647332545,-0.057121068222223
"43",201,"Blocked",0.452083333333333,0.4854375,-0.43375,-0.4854375,0.277493008137534,0.122096665938646,0.977114837014587,0.978769729785688,0.00161917776832064
"44",202,"Random",0.27175,0.2265,0.0729166666666667,0.1115,0.322617948322331,0.313056544413306,0.907446412830777,0.96079505531723,0.0500617522994513
"45",203,"Blocked",0.3215,0.305,-0.306666666666667,-0.289125,0.218113186943936,0.206461578346513,0.88535726307263,0.895569868715958,0.00920445461003956
"46",204,"Random",0.189375,0.1815,-0.144625,-0.1535,0.196338840317934,0.187553370182108,0.948761540907884,0.872397182207275,-0.0701250252107513
"47",205,"Blocked",0.658235294117647,0.577166666666667,0.658235294117647,0.577166666666667,0.26839302557345,0.1153846006216,0.916748445926214,0.921996328740437,0.00485633817473557
